region,area_sqm,area_km2,parcel_count,parcel_area_sqm,unbuilt_parcel_count,unbuilt_parcel_count_ratio,unbuilt_parcel_area_sqm,unbuilt_parcel_area_ratio,building_count,total_floor_area_sqm,office_floor_area_sqm,office_floor_area_ratio,average_far_pct,lum,population,households,businesses,workers,job_housing_ratio_workers_per_resident,worker_density_per_km2,intersected_tract_count,tract_code_match_rate,road_length_km,road_density_km_per_km2,intersection_count,intersection_density_per_km2,access_30_population,access_30_households,access_30_workers,access_60_population,access_60_households,access_60_workers,statistics_year,prom_reference_year,sgis_boundary_period,subway_network_cutoff
pangyo,674391.4724695843,0.6743914724695843,152,674391.5957241522,66,0.4342105263157895,210523.12895199613,0.3121674859040012,85,2710137.13,2604986.28,0.9612009116306228,401.8640130130764,0.15120160415609257,262.7675380923816,136.73859925899475,1205.9988241179394,42667.954445063515,162.3790927708227,63268.82261546965,4,1.0,5.2826213315722255,7.833167451283982,14,20.75945585244839,1424895.7704704585,692380.6574303352,1510528.302438287,8405399.40775546,4074077.1791652404,5531047.330119453,2023,2026,2025_Q2,2023-12-31
cheongna,1036788.3795067412,1.0367883795067412,117,1036981.1674661565,100,0.8547008547008547,946639.13587252,0.9128797759998039,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642,4658.684887239771,2473.487324110867,635.7270050056412,1959.7857576624488,0.4206736031943994,1890.2466466636417,34,1.0,14.800020652784573,14.27487127105512,60,57.8710189909202,622715.7843873994,309066.72674918344,268368.6142880088,5596149.389223353,2718089.6707135076,3371925.2822791273,2023,2026,2025_Q2,2023-12-31
