region,use_category,tot_fl_ar,share,building_count,total_floor_area_sqm,office_floor_area_sqm,office_floor_area_ratio,average_far_pct,lum
cheongna,culture_assembly,10439.88,0.03308024021322701,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642
cheongna,industrial,126.75,0.0004016253488571251,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642
cheongna,office_research,206067.7077,0.6529547533980322,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642
cheongna,other,28188.792,0.08932018477996795,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642
cheongna,retail_neighborhood,70769.5,0.2242431962599157,14,315592.6297,206067.7077,0.6529547533980322,30.433786032117098,0.5873043774664642
