region,uzone_cd,uzone_nm,area_sqm,share
cheongna,UQA111,제1종전용주거지역,9757.321624349748,0.009411102417054343
cheongna,UQA121,제1종일반주거지역,3771.5377624367648,0.0036377122245825114
cheongna,UQA122,제2종일반주거지역,2658.0889555680583,0.0025637719404539056
cheongna,UQA123,제3종일반주거지역,62458.16509428345,0.06024196097182178
cheongna,UQA210,중심상업지역,830849.2811198444,0.8013682421046485
cheongna,UQA430,자연녹지지역,126960.41969741254,0.12245548099006934
