tract_id,population,workers,businesses,total_businesses,population_year,employment_business_year,region_code
23080531020006,541,2380.0,41.0,58,2023,2023,23080
23080531020007,530,263.0,13.0,29,2023,2023,23080
23080531020008,481,7.0,7.0,16,2023,2023,23080
23080531020009,534,150.0,54.0,72,2023,2023,23080
23080531020010,561,88.0,19.0,37,2023,2023,23080
23080531020011,578,359.0,7.0,18,2023,2023,23080
23080531020012,482,187.0,60.0,81,2023,2023,23080
23080531020013,489,50.0,5.0,9,2023,2023,23080
23080531020014,587,220.0,62.0,72,2023,2023,23080
23080531020015,585,145.0,54.0,70,2023,2023,23080
23080531020016,462,0.0,0.0,2,2023,2023,23080
23080531020017,625,337.0,32.0,46,2023,2023,23080
23080531020018,488,51.0,21.0,32,2023,2023,23080
23080531020101,445,8.0,0.0,9,2023,2023,23080
23080531020201,522,5.0,0.0,10,2023,2023,23080
23080531020202,510,0.0,0.0,4,2023,2023,23080
23080531020203,519,0.0,0.0,3,2023,2023,23080
23080531020204,587,9.0,0.0,5,2023,2023,23080
23080531020205,365,44.0,13.0,27,2023,2023,23080
23080531020401,678,9.0,0.0,10,2023,2023,23080
23080531020501,543,12.0,6.0,12,2023,2023,23080
23080531020502,308,39.0,0.0,12,2023,2023,23080
23080531020701,854,20.0,6.0,14,2023,2023,23080
23080531020801,617,12.0,5.0,13,2023,2023,23080
23080531030001,642,340.0,39.0,60,2023,2023,23080
23080531040001,485,164.0,63.0,74,2023,2023,23080
23080531040002,613,14.0,6.0,18,2023,2023,23080
23080531040003,527,327.0,33.0,40,2023,2023,23080
23080531040004,501,14.0,14.0,19,2023,2023,23080
23080531040005,463,769.0,119.0,134,2023,2023,23080
23080531040006,563,2053.0,970.0,974,2023,2023,23080
23080531040007,542,236.0,86.0,100,2023,2023,23080
23080531040008,513,1052.0,231.0,244,2023,2023,23080
23080531040009,612,262.0,82.0,94,2023,2023,23080
23080531040010,464,12.0,0.0,10,2023,2023,23080
23080531040011,611,260.0,55.0,76,2023,2023,23080
23080531040012,394,140.0,46.0,69,2023,2023,23080
23080531040013,502,153.0,52.0,61,2023,2023,23080
23080531040014,501,197.0,5.0,19,2023,2023,23080
23080531040015,569,404.0,38.0,52,2023,2023,23080
23080531040016,594,85.0,17.0,28,2023,2023,23080
23080531040017,501,429.0,126.0,135,2023,2023,23080
23080531040018,579,63.0,11.0,27,2023,2023,23080
23080531040019,575,44.0,33.0,45,2023,2023,23080
23080531040020,517,64.0,44.0,51,2023,2023,23080
23080531040021,582,175.0,14.0,29,2023,2023,23080
23080531040022,449,2951.0,187.0,194,2023,2023,23080
23080531040023,614,116.0,65.0,88,2023,2023,23080
23080531040024,513,74.0,5.0,12,2023,2023,23080
23080531040101,497,25.0,7.0,19,2023,2023,23080
23080531040201,359,15.0,5.0,15,2023,2023,23080
23080531040301,668,61.0,13.0,25,2023,2023,23080
23080531040302,446,0.0,0.0,9,2023,2023,23080
23080531040401,504,9.0,0.0,10,2023,2023,23080
23080531040402,505,42.0,11.0,30,2023,2023,23080
23080531040601,497,0.0,0.0,6,2023,2023,23080
23080531040701,646,35.0,9.0,30,2023,2023,23080
23080531040702,544,19.0,0.0,10,2023,2023,23080
23080531040703,425,9.0,9.0,13,2023,2023,23080
23080531040704,607,0.0,0.0,7,2023,2023,23080
23080531040705,448,0.0,0.0,7,2023,2023,23080
23080531040801,615,14.0,12.0,28,2023,2023,23080
23080531040802,442,10.0,8.0,13,2023,2023,23080
23080531040803,543,15.0,0.0,10,2023,2023,23080
23080531041001,476,0.0,0.0,9,2023,2023,23080
23080531041002,608,22.0,11.0,25,2023,2023,23080
23080541010001,496,300.0,105.0,122,2023,2023,23080
23080541010003,528,2520.0,594.0,596,2023,2023,23080
23080541010004,410,234.0,67.0,85,2023,2023,23080
23080541010005,251,17.0,0.0,3,2023,2023,23080
23080541010101,465,0.0,0.0,10,2023,2023,23080
23080541010102,436,6.0,6.0,9,2023,2023,23080
23080541010103,660,27.0,6.0,12,2023,2023,23080
23080541010201,542,13.0,5.0,11,2023,2023,23080
23080541010202,654,37.0,6.0,25,2023,2023,23080
23080541010203,565,16.0,9.0,15,2023,2023,23080
23080541010204,497,5.0,5.0,10,2023,2023,23080
23080541010205,563,12.0,7.0,17,2023,2023,23080
23080541010206,520,6.0,0.0,7,2023,2023,23080
23080541010301,393,6.0,6.0,10,2023,2023,23080
23080541010302,587,18.0,7.0,14,2023,2023,23080
23080541010303,372,5.0,5.0,7,2023,2023,23080
23080541010304,584,38.0,10.0,25,2023,2023,23080
23080541010305,608,8.0,7.0,20,2023,2023,23080
23080541010401,482,18.0,0.0,9,2023,2023,23080
23080541010402,503,7.0,7.0,12,2023,2023,23080
23080541010403,524,16.0,6.0,9,2023,2023,23080
23080541010404,481,0.0,0.0,3,2023,2023,23080
23080541010405,616,14.0,6.0,17,2023,2023,23080
23080541010501,618,14.0,0.0,13,2023,2023,23080
23080541010502,609,25.0,6.0,19,2023,2023,23080
23080541010503,623,28.0,10.0,22,2023,2023,23080
23080541010504,586,52.0,37.0,45,2023,2023,23080
